commentid,contents,point,username,profile,profileStatus,photoCnt,likeCnt,kakaoMapUserId,photoList,ownerReply,strengths,userCommentCount,userCommentAverageScore,myStorePick,level,date,isMy,isBlock,isEditable,isMyLike,thumbnail,booking,target,preprocessed_comment
10502701,쌀국수 고기가 진짜 많고 국물이 맛있어요 저거 시키면 불쑈도 보여쥬심,5,춘배더냥이,http://t1.daumcdn.net/local/kakaomapPhoto/profile/ad26fd2c0703d650487e286fc2b4258fbb34d5f1?original,S,1,0,1282045524,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/f5248f8cf6ae16199128e920b70770b8e7eae21b?original', 'near': False}]",{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}]",229,4.6,False,"{'nowLevel': 41, 'badge': '03'}",2024.07.07.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/f5248f8cf6ae16199128e920b70770b8e7eae21b?original,,0,쌀국수 고기가 진짜 많고 국물이 맛있어요 저거 시키면 불쑈도 보여쥬심
10485285,"양도 괜찮고 무엇보다 서비스가 와닿았던 곳 😇💗
가격은 프리미엄 이름값을 하지만
맛이 쌍프리미엄이라 만족👍",5,J,http://th-p.talk.kakao.co.kr/th/talkp/wkSah0ODjI/BG9UkI4bsUx7aRdVLp18AK/j6gy5s.jpg,S,1,0,901505791,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/6193b5c378a1ca96f6c235115da9a80384a80e89?original', 'near': False}]",{},"[{'id': 5, 'name': '맛'}, {'id': 2, 'name': '친절'}]",5,3.8,False,"{'nowLevel': 8, 'badge': '01'}",2024.07.05.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/6193b5c378a1ca96f6c235115da9a80384a80e89?original,,0,양도 괜찮고 무엇보다 서비스가 와닿았던 곳 가격은 프리미엄 이름값을 하지만맛이 쌍프리미엄이라 만족
10479501,"⭐️줄서지말고 매장 안으로 바로 들어가 계산대에서 번호표 받으세요⭐️

제가 먼저 들어갔다가 다른 직원분한테 번호표도 줄서야하냐고 물어보는 사이 ㅋㅋ뒤에 오신 다른 분 먼저 줄서서 번호표 받아가심..그런 과정 보셨으면 융통성있게 먼저 오신 분 해준다 해주시지

뭔가 친절함이 아예 없는건 아닌데 
전반적으로 모든 직원이 여기 룰을 지켜야만 니네가 먹을 수 있어 이런느낌 있음


💵 : 매운소곱창쌀국수👍분짜 🫳

✅ 매운 소곱창 쌀국수 - 예전에는 불로 지져주고 불맛도 났던거 같고 곱창도 더 많았어요. 곱창도 다 야들야들 부드러웠는데 최근엔 아니었어요. 간간히 쓴 곱창도 있었음&hellip;

그래도 아직까진 매운 소곱창 쌀국수 중에는 가장 곱창 양이 많아 또 갈듯

✅ 분짜 - 소곱창 쌀국수가 매워서 중화용으로 좋음. 예전엔 나쁘지 않았는데 최근엔 또 퀄리티가 떨어저 다음엔 안시켜먹을 예정.
",3,떼또먹,http://t1.daumcdn.net/local/kakaomapPhoto/profile/c54cb11c951e4b6ecb3dfe753ca59ba39a8ddf5c?original,S,3,0,1595721095,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/9d96b671b2b76ba0fad025393ab930a769e67a13?original', 'near': False}, {'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/8729b666e10c715d0295bcb4eafbec43e2be8a73?original', 'near': False}, {'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/eafc6dfeda8cd8ef6ad12b69873ea12954b7e25c?original', 'near': False}]",{},"[{'id': 5, 'name': '맛'}]",8,2.1,False,"{'nowLevel': 13, 'badge': '02'}",2024.07.04.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/9d96b671b2b76ba0fad025393ab930a769e67a13?original,,1,줄서지말고 매장 안으로 바로 들어가 계산대에서 번호표 받으세요제가 먼저 들어갔다가 다른 직원분한테 번호표도 줄서야하냐고 물어보는 사이 ㅋㅋ뒤에 오신 다른 분 먼저 줄서서 번호표 받아가심그런 과정 보셨으면 융통성있게 먼저 오신 분 해준다 해주시지뭔가 친절함이 아예 없는건 아닌데 전반적으로 모든 직원이 여기 룰을 지켜야만 니네가 먹을 수 있어 이런느낌 있음  매운소곱창쌀국수분짜  매운 소곱창 쌀국수  예전에는 불로 지져주고 불맛도 났던거 같고 곱창도 더 많았어요 곱창도 다 야들야들 부드러웠는데 최근엔 아니었어요 간간히 쓴 곱창도 있었음그래도 아직까진 매운 소곱창 쌀국수 중에는 가장 곱창 양이 많아 또 갈듯 분짜  소곱창 쌀국수가 매워서 중화용으로 좋음 예전엔 나쁘지 않았는데 최근엔 또 퀄리티가 떨어저 다음엔 안시켜먹을 예정
10435539,"맛은 있으나 역대급 불친절 ^^~서비스 별로 안 따지지만, 기분 상당히 나쁘게 먹었습니다.쌀국수 분짜 모두 추천인데 아무래도 쌀국수가 메인인 곳인가봐요",2,김지연제인,https://p.kakaocdn.net/th/talkp/wotF1sARL2/dkHc8i9indFiOAm3wiHJDK/k4e989_640x640_s.jpg,S,0,0,1233100808,[],{},"[{'id': 5, 'name': '맛'}]",283,4.0,False,"{'nowLevel': 31, 'badge': '03'}",2024.06.27.,False,False,False,False,,,2,맛은 있으나 역대급 불친절 서비스 별로 안 따지지만 기분 상당히 나쁘게 먹었습니다쌀국수 분짜 모두 추천인데 아무래도 쌀국수가 메인인 곳인가봐요
10423800,이걸왜줄서서먹음? 서울사람들은 맛잇는거못먹어봤나싶음;; 양은많음 대실망 노맛,1,태태태,,S,0,0,1849135298,[],{},,3,2.0,False,"{'nowLevel': 3, 'badge': '01'}",2024.06.25.,False,False,False,False,,,2,이걸왜줄서서먹음 서울사람들은 맛잇는거못먹어봤나싶음 양은많음 대실망 노맛
10383179,으; ,1,미미,http://t1.daumcdn.net/local/kakaomapPhoto/profile/8c93dbfb5c49a478cd983e042df26fb6000cb5e1?original,S,0,1,1083017052,[],{},,4,1.0,False,"{'nowLevel': 5, 'badge': '01'}",2024.06.19.,False,False,False,False,,,2,으 
10325649,"그지같아서 사진도 안찍었네 젠장..
주문받았으면서 까먹어놓고 우리 방치하다가 우리가 물어보니까 
&ldquo;주문을 안하셨네~&rdquo;
안했겠냐고 배고파서 밥먹을라고 앉아있는데 우리가 거기서 뭐하겠다고 20분동안 앉아있었겠냐고;;;;;
그러고 나 힘줄쌀국수? 뭐 그거 시켰는데 고기 안쪽이 차가움ㅋㅋㅋㅋㅋㅋ진짜 미친건가 했음ㅋㅋ 맛은 어땠는지 기억도 안남 짜증나서 그냥 먹기싫었음;; 그래도 시켰으니 돈아까워서라도 먹어야지 젠장;;;; 여러분 제발 가지말아주세요 ",1,여지야지,http://t1.daumcdn.net/local/kakaomapPhoto/profile/5fd0a4ca45886141e2789212fce091624ee4267f?original,S,0,7,1477206670,[],{},,1,1.0,False,"{'nowLevel': 7, 'badge': '01'}",2024.06.11.,False,False,False,False,,,2,그지같아서 사진도 안찍었네 젠장주문받았으면서 까먹어놓고 우리 방치하다가 우리가 물어보니까 주문을 안하셨네안했겠냐고 배고파서 밥먹을라고 앉아있는데 우리가 거기서 뭐하겠다고 분동안 앉아있었겠냐고그러고 나 힘줄쌀국수 뭐 그거 시켰는데 고기 안쪽이 차가움ㅋㅋㅋㅋㅋㅋ진짜 미친건가 했음ㅋㅋ 맛은 어땠는지 기억도 안남 짜증나서 그냥 먹기싫었음 그래도 시켰으니 돈아까워서라도 먹어야지 젠장 여러분 제발 가지말아주세요 
10318511,"국물도 진하고 고기나 숙주 양도 많아요
안내도 친절하고 서비스 좋았습니다",4,우산,http://t1.daumcdn.net/local/kakaomapPhoto/profile/7c2c654953b19f5d47bf0e01aec032f621f9502e?original,S,1,0,1270154388,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/1370e731d8f0a2038f3f14c958b82d86816fcfb8?original', 'near': False}]",{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}, {'id': 2, 'name': '친절'}]",18,3.2,False,"{'nowLevel': 16, 'badge': '02'}",2024.06.10.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/1370e731d8f0a2038f3f14c958b82d86816fcfb8?original,,0,국물도 진하고 고기나 숙주 양도 많아요안내도 친절하고 서비스 좋았습니다
10293293,맛에 비해 너무 높은 가격 두 번째 방문인데 몇 년 사이에 맛이 변한 듯,2,여기에맛집이있다구요?,http://t1.daumcdn.net/local/kakaomapPhoto/profile/99605adc5d89a07ef931362d7a0889cb6eff2a75?original,S,0,2,864861043,[],{},,25,3.7,False,"{'nowLevel': 20, 'badge': '02'}",2024.06.07.,False,False,False,False,,,2,맛에 비해 너무 높은 가격 두 번째 방문인데 몇 년 사이에 맛이 변한 듯
10249678,이렇게 싱거운 쌀국수는 인생 처음.. 짜조는 맛있어요,2,빠꾸,http://t1.daumcdn.net/local/kakaomapPhoto/profile/84db753ea5632db2586f08c2b81b069aaee368d8?original,S,0,2,1243819624,[],{},,71,4.2,False,"{'nowLevel': 22, 'badge': '02'}",2024.06.02.,False,False,False,False,,,2,이렇게 싱거운 쌀국수는 인생 처음 짜조는 맛있어요
10231000,너무 친절해서 신기했음. 맛은 말뭐 곱창국수 1단계 추천함.,5,용인닭발,http://t1.daumcdn.net/local/kakaomapPhoto/profile/66ae53f7e18d3c494243fa4a082b7ba8aba55a3c?original,S,0,0,690758056,[],{},"[{'id': 5, 'name': '맛'}, {'id': 2, 'name': '친절'}]",65,4.0,False,"{'nowLevel': 21, 'badge': '02'}",2024.05.30.,False,False,False,False,,,0,너무 친절해서 신기했음 맛은 말뭐 곱창국수 단계 추천함
10131378,"분짜하고 매운 소곱창 쌀국수 1단계 시켰는데 양이나 맛으로 너무 맛이 없어서 실망했습니다.
개인적으로 맛을 잘 가리지 않는, 허들이 낮은 사람인데 근 10년 간 돈 내고 먹은 음식 중 손에 꼽을 정도로 맛이 아쉬웠습니다.
평소 카카오맵 평점 3.5 이상은 신빙성있다고 보는데 너무 아쉬웠네요.  그리고 종업원이 입구 근처에서 큰 목소리로 이야기하는 것이 식사에 방해됩니다",1,씨,,S,0,1,1889479039,[],{},,3,1.0,False,"{'nowLevel': 3, 'badge': '01'}",2024.05.15.,False,False,False,False,,,2,분짜하고 매운 소곱창 쌀국수 단계 시켰는데 양이나 맛으로 너무 맛이 없어서 실망했습니다개인적으로 맛을 잘 가리지 않는 허들이 낮은 사람인데 근 년 간 돈 내고 먹은 음식 중 손에 꼽을 정도로 맛이 아쉬웠습니다평소 카카오맵 평점  이상은 신빙성있다고 보는데 너무 아쉬웠네요  그리고 종업원이 입구 근처에서 큰 목소리로 이야기하는 것이 식사에 방해됩니다
10124487,"예상외로 바쿠테(라고 하지만 매콤달콤 등갈비)가 먹을만하고 양도 많았네요. 아쉬운점은 양념에 당도는 조금 내리고 식초나 라임/레몬즙을 살짝 추가 했으면 끝까지 물리지 않고 먹기에 좋을듯 하구요, 튀김이라고 했지만 어차피 익혀서 튀길건데 익히는 시간을 저온(70-80도 내외) 에서 좀더 길게 잡으면 (3시간 이상) 뼈와 살이 사르르 분리됩니다. 그래야 비닐장갑 끼고도 순조롭게 분리해서 먹고 회전률도 올라가니 영업에도 도움이 될듯요. 본사에서 모니터링할진 모르지만 영업에 도움 되길 바라는 마음에&hellip;",4,cladio,http://th-p.talk.kakao.co.kr/th/talkp/wkEiwjxEYB/LhTSWlZACmEzLa3Gl9FkU0/myar1h.jpg,S,0,1,384283074,[],{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}]",34,4.4,False,"{'nowLevel': 20, 'badge': '02'}",2024.05.14.,False,False,False,False,,,0,예상외로 바쿠테라고 하지만 매콤달콤 등갈비가 먹을만하고 양도 많았네요 아쉬운점은 양념에 당도는 조금 내리고 식초나 라임레몬즙을 살짝 추가 했으면 끝까지 물리지 않고 먹기에 좋을듯 하구요 튀김이라고 했지만 어차피 익혀서 튀길건데 익히는 시간을 저온도 내외 에서 좀더 길게 잡으면 시간 이상 뼈와 살이 사르르 분리됩니다 그래야 비닐장갑 끼고도 순조롭게 분리해서 먹고 회전률도 올라가니 영업에도 도움이 될듯요 본사에서 모니터링할진 모르지만 영업에 도움 되길 바라는 마음에
10097361,"임산부랑 같이 갔습니다
배려 너무 감사합니다
케이크도 냉장보관해주시고.
늘 번창하세요 &hearts;︎",5,머먹띵,http://t1.daumcdn.net/local/kakaomapPhoto/profile/0f78c8b0470fcee11d5e10f5865c84d967efcb17?original,S,1,0,547246542,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/8f8f5ba0e39115f59e38de71e7fed9ce89316431?original', 'near': False}]",{},,37,4.4,False,"{'nowLevel': 20, 'badge': '02'}",2024.05.10.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/8f8f5ba0e39115f59e38de71e7fed9ce89316431?original,,0,임산부랑 같이 갔습니다배려 너무 감사합니다케이크도 냉장보관해주시고늘 번창하세요 
10097044,평범하게 맛있어요 매운곱창쌀국수는 넘 느끼했음,3,짱,http://t1.daumcdn.net/local/kakaomapPhoto/profile/c8c0daf7d1e9c3610a99aeebf4ca0d03997175b6?original,S,2,0,1156444279,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/3d31db748c6d7f01be03c5b11149516583bc95cc?original', 'near': True}, {'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/569ddbc577f2a66d087a3548ae85f8d572c2504a?original', 'near': True}]",{},,529,4.1,False,"{'nowLevel': 69, 'badge': '04'}",2024.05.10.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/3d31db748c6d7f01be03c5b11149516583bc95cc?original,,1,평범하게 맛있어요 매운곱창쌀국수는 넘 느끼했음
10067158,전 쏘쏘,3,🚔,http://t1.daumcdn.net/local/kakaomapPhoto/profile/54a4051a8dc9625a67e5e5806d4c5519e120ec65?original,S,0,0,321998851,[],{},,143,4.4,False,"{'nowLevel': 29, 'badge': '02'}",2024.05.06.,False,False,False,False,,,1,전 쏘쏘
10065148,쌀국수는 여기가 최고,5,스님의왁스,http://t1.daumcdn.net/local/kakaomapPhoto/profile/925a1e4050c1dfdbfee6b6cc427a65bd9aedfd8e?original,S,0,0,2776729581,[],{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}, {'id': 3, 'name': '분위기'}]",176,4.3,False,"{'nowLevel': 39, 'badge': '03'}",2024.05.06.,False,False,False,False,,,0,쌀국수는 여기가 최고
10035516,이맛을 왜 이렇게 기다려가면서 먹으려고 줄서는건지 이해가 안되는 집. 서울 사람들은 맛없는거만 먹고 사나? 라고 느꼈던 곳,2,여기갈래,http://t1.daumcdn.net/local/kakaomapPhoto/profile/e2099a99a55b46b91e837276c26778f0c6b8f048?original,S,0,1,1269996415,[],{},,20,4.4,False,"{'nowLevel': 16, 'badge': '02'}",2024.05.02.,False,False,False,False,,,2,이맛을 왜 이렇게 기다려가면서 먹으려고 줄서는건지 이해가 안되는 집 서울 사람들은 맛없는거만 먹고 사나 라고 느꼈던 곳
10035375,쌀국수 분짜 ,5,김정연,https://p.kakaocdn.net/th/talkp/woZtlNHhfx/M80vBKNskgCkkyNH91TysK/talkp_640x640_s.jpg,S,0,0,265708777,[],{},"[{'id': 5, 'name': '맛'}]",8,5.0,False,"{'nowLevel': 3, 'badge': '01'}",2024.05.02.,False,False,False,False,,,0,쌀국수 분짜 
10011664,"매운 소곱창 쌀국수 마라탕 맛이 나여
저는 맛있는데 마라탕 못 먹는 사람은 괴로워하더라고여",5,Inspiration,http://t1.daumcdn.net/local/kakaomapPhoto/profile/b13886b2f56bf0ece1a56ca0076bfbfe563fd78a?original,S,0,0,705568549,[],{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}, {'id': 2, 'name': '친절'}, {'id': 3, 'name': '분위기'}]",65,4.1,False,"{'nowLevel': 29, 'badge': '02'}",2024.04.28.,False,False,False,False,,,0,매운 소곱창 쌀국수 마라탕 맛이 나여저는 맛있는데 마라탕 못 먹는 사람은 괴로워하더라고여
10006152,쌀국시 맛집,4,숑,http://t1.daumcdn.net/local/kakaomapPhoto/profile/643ed984c6d5eb9e03dcb00b0d6ae3216812eede?original,S,0,1,3101936719,[],{},,436,4.0,False,"{'nowLevel': 38, 'badge': '03'}",2024.04.27.,False,False,False,False,,,0,쌀국시 맛집
9995309,신선했음,4,미스터선,http://th-p.talk.kakao.co.kr/th/talkp/wkmCa5A6Ak/9tqk7nUClqWJmYbcqQ2dFK/9zuae1.jpg,S,0,0,561313132,[],{},,133,4.0,False,"{'nowLevel': 26, 'badge': '02'}",2024.04.26.,False,False,False,False,,,0,신선했음
9947782,"한우쌀국수 먹었어야했나 싶움
그냥 일반 쌀국수 먹었는데 조금 질기지만 먹을만 했다!",3,눈누난나,http://th-p.talk.kakao.co.kr/th/talkp/wkH6xr2A6G/IzPWIvq9kfzVNzWkbvkh5k/5pyxer.jpg,S,0,0,566958808,[],{},,11,4.1,False,"{'nowLevel': 9, 'badge': '01'}",2024.04.18.,False,False,False,False,,,1,한우쌀국수 먹었어야했나 싶움그냥 일반 쌀국수 먹었는데 조금 질기지만 먹을만 했다
9937763,"장점
-가성비 매우 굳. 강남 이 일대에서 가성비 제일 좋은 집임
-거기다가 맛있기까지 함. 배부르고 맛있고
-직원분들 항상 친절하심
-메뉴 바로바로 나옴 오래안기다려도됨
-혼밥쌉가능. 혼밥존 책상이 있음. 구석진곳도 아니고 햇빛드는곳에 자리도 좋음.
+개인적 추천메뉴는 직화쌀국수. 매우맛있음

단점은 양이 넘 많다...!! 어우 배불러😆",5,리뷰하는 햄,http://t1.daumcdn.net/local/kakaomapPhoto/profile/ce3b11b83e0e0873b96dd9269531c2bb283160fc?original,S,0,0,313263541,[],{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}, {'id': 2, 'name': '친절'}, {'id': 3, 'name': '분위기'}]",22,4.0,False,"{'nowLevel': 16, 'badge': '02'}",2024.04.16.,False,False,False,False,,,0,장점가성비 매우 굳 강남 이 일대에서 가성비 제일 좋은 집임거기다가 맛있기까지 함 배부르고 맛있고직원분들 항상 친절하심메뉴 바로바로 나옴 오래안기다려도됨혼밥쌉가능 혼밥존 책상이 있음 구석진곳도 아니고 햇빛드는곳에 자리도 좋음개인적 추천메뉴는 직화쌀국수 매우맛있음단점은 양이 넘 많다 어우 배불러
9896269,"직화쌀국수 
보양쌀국수
코코넛슈림프 사이드 주문했습니다.

고기 양 괜찮고 맛있습니다.
호불호 갈리는 향이 없는 곳입니다
평소 베트남 음식 못먹는 사람도 먹을 수 있습니다",4,목동 물주먹,http://t1.daumcdn.net/local/kakaomapPhoto/profile/a4c265a1f4514b7c1ee2e948f740a928d532ffff?original,S,4,1,1999678552,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/6b8989d44bf1372f437cd11a26c77a6c91942694?original', 'near': False}, {'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/09144f479849bfe123ad660bacb385fd2417a38d?original', 'near': False}, {'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/d274cd120012a535dac3c25b84f606eb12f4be46?original', 'near': False}, {'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/9166d11202782ed431ab9021107695303a22c920?original', 'near': False}]",{},,92,3.3,False,"{'nowLevel': 34, 'badge': '03'}",2024.04.10.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/6b8989d44bf1372f437cd11a26c77a6c91942694?original,,0,직화쌀국수 보양쌀국수코코넛슈림프 사이드 주문했습니다고기 양 괜찮고 맛있습니다호불호 갈리는 향이 없는 곳입니다평소 베트남 음식 못먹는 사람도 먹을 수 있습니다
9881458,"무난한 맛인거 같아요! 곱창안에 곱이 다 빠져있었던게 아쉽지만 친절하셨고 음식은 주문한지 3분도 안되서 나왔어요(패스트푸드인줄요..ㅋㅋㅋ) 곱창쌀국수 16000원이었고, 맵기 조절 가능했고 0단계는 거의 맵지 않았습니다! ",4,주주,http://t1.daumcdn.net/local/kakaomapPhoto/profile/02d04c4fae1edae655549718dfdb9592258d46b8?original,S,1,0,481443719,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/05f1490b1c575f745574b2007251da6fabc8a31b?original', 'near': True}]",{},,249,3.9,False,"{'nowLevel': 43, 'badge': '03'}",2024.04.08.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/05f1490b1c575f745574b2007251da6fabc8a31b?original,,0,무난한 맛인거 같아요 곱창안에 곱이 다 빠져있었던게 아쉽지만 친절하셨고 음식은 주문한지 분도 안되서 나왔어요패스트푸드인줄요ㅋㅋㅋ 곱창쌀국수 원이었고 맵기 조절 가능했고 단계는 거의 맵지 않았습니다 
9881413,여기 쌀국수 최고!!,5,미라보,http://t1.daumcdn.net/local/kakaomapPhoto/profile/19696027fb9410fb3a3b9fcc3468f1df1e352688?original,S,0,0,326534085,[],{},"[{'id': 5, 'name': '맛'}]",99,3.7,False,"{'nowLevel': 28, 'badge': '02'}",2024.04.08.,False,False,False,False,,,0,여기 쌀국수 최고
